Date,Room,Type,Description,Additional Description
2025-08-13T11:40:55.794,101,Value monitoring,Door 1 -> 0,
2025-08-20T03:41:00.613,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:41:00.623,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:41:00.628,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:41:00.636,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:41:10.727,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:41:10.739,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:41:20.477,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:41:20.488,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:41:30.507,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:41:30.594,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:41:30.660,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:41:30.727,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:41:40.940,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:41:40.963,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:41:50.887,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:41:50.893,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:42:00.919,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:42:00.956,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:42:00.967,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:42:00.976,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:42:11.088,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:42:11.098,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:42:21.256,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:42:21.276,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:42:31.052,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:42:31.063,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:42:31.074,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:42:31.083,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:15:13.717,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:15:23.476,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:15:23.485,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:15:33.225,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:15:33.234,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:15:43.352,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:15:43.359,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:15:43.369,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:15:43.379,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:15:53.500,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:15:53.509,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:16:03.345,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:16:03.349,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:16:13.706,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:16:13.711,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:16:13.722,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:16:13.730,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:16:23.782,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:16:23.790,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:16:33.402,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:16:33.413,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:16:43.350,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:16:43.361,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:16:45.816,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:16:45.847,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:16:53.346,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:16:53.357,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:17:03.276,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:17:03.283,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:17:13.474,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:17:13.486,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:17:13.494,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:17:13.503,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:17:23.239,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:17:23.246,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:17:33.041,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:17:33.052,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:17:42.889,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:17:42.898,103,Value monitoring,MUR 0 -> 1,
2025-08-13T11:40:58.515,101,Value monitoring,Door 0 -> 1,
2025-08-20T03:42:41.229,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:42:41.245,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:42:51.409,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:42:51.420,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:43:01.460,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:43:01.471,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:43:01.474,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:43:01.483,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:43:11.236,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:43:11.243,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:17:45.557,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:17:45.580,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:17:53.079,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:17:53.088,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:18:02.805,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:18:02.815,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:18:12.832,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:18:12.838,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:18:15.261,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:18:15.267,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:18:23.319,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:18:23.334,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:18:33.068,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:18:33.083,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:18:42.596,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:18:42.605,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:18:45.293,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:18:45.303,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:18:53.090,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:18:53.100,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:19:03.331,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:19:03.335,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:19:13.369,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:19:13.379,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:19:16.055,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:19:16.065,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:19:23.077,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:19:23.086,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:19:32.814,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:19:32.824,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:19:42.723,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:19:42.734,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:19:45.382,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:19:45.391,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:19:52.972,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:19:52.981,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:20:03.337,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:20:03.345,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:20:13.371,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:20:13.402,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:20:16.036,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:20:16.042,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:20:23.195,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:20:23.205,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:20:33.303,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:20:33.326,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:20:42.900,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:20:42.907,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:20:45.251,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:20:45.308,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:20:54.829,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:20:54.834,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:21:04.836,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:21:04.841,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:12.591,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:21:12.606,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:21:15.041,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:21:15.052,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:21:24.633,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:21:24.643,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:40.743,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:21:40.754,103,Value monitoring,MUR 1 -> 0,
2025-08-13T11:45:21.541,101,Value monitoring,Door 1 -> 0,
2025-08-13T11:45:26.847,101,Value monitoring,Door 0 -> 1,
2025-08-20T03:43:21.494,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:43:21.506,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:43:31.221,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:43:31.226,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:43:31.235,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:43:31.243,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:43.648,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:21:43.659,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:46.099,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:21:46.105,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:21:53.707,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:21:53.715,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:22:03.694,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:22:03.705,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:22:13.722,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:22:13.729,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:22:16.009,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:22:16.023,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:22:23.566,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:22:23.581,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:22:33.547,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:22:33.571,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:22:43.586,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:22:43.599,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:22:46.155,103,Value monitoring,Window  0 -> 1,
